,평균기온,최저기온,최고기온,일강수량,최대풍속,평균풍속,수위_DAY,유량_DAY,수온,용존산소,총유기탄소,클로로필,보방류량_DAY,보유입량_DAY,보저수량_DAY,보저수위_DAY,수온_WEK,pH_WEK,DO_WEK,투명도_WEK,탁도_WEK,Chl-a _WEK,유해남조류세포수
2012-01-01,,,,,,,-0.98,,,,,,0.0,0.0,0.0,10.38,0.8,7.6,14.7,,,4.9,
2012-01-02,,,,,,,-1.1,,,,,,0.0,0.0,0.0,10.05,0.8,7.6,14.7,,,4.9,
2012-01-03,,,,,,,-1.1,,,,,,0.0,0.0,0.0,9.85,0.8,7.6,14.7,,,4.9,
2012-01-04,,,,,,,-0.94,,,,,,0.0,0.0,0.0,10.1,0.8,7.6,14.7,,,4.9,
2012-01-05,,,,,,,-0.97,,,,,,0.0,0.0,0.0,10.16,0.8,7.6,14.7,,,4.9,0.0
2012-01-06,,,,,,,-0.94,,,,,,0.0,0.0,0.0,9.89,1.3,7.56,14.42,,,4.98,
2012-01-07,,,,,,,-0.86,,,,,,0.0,0.0,0.0,10.02,1.8,7.52,14.14,,,5.0600000000000005,
2012-01-08,,,,,,,-0.83,,,,,,0.0,0.0,0.0,10.05,2.3,7.48,13.86,,,5.14,
2012-01-09,,,,,,,-1.25,,,,,,0.0,0.0,0.0,9.97,2.8,7.44,13.58,,,5.22,
2012-01-10,,,,,,,-0.88,,,,,,0.0,0.0,0.0,9.89,3.3,7.4,13.3,,,5.3,0.0
2012-01-11,,,,,,,-0.73,,,,,,0.0,0.0,0.0,9.84,3.15,7.45,13.333333333333334,,,6.333333333333333,
2012-01-12,,,,,,,-0.55,,,,,,0.0,0.0,0.0,9.85,3.0,7.5,13.366666666666667,,,7.366666666666667,
2012-01-13,,,,,,,-0.75,,,,,,0.0,0.0,0.0,9.86,2.8499999999999996,7.550000000000001,13.4,,,8.4,
2012-01-14,,,,,,,-0.93,,,,,,0.0,0.0,0.0,9.87,2.6999999999999997,7.6000000000000005,13.433333333333334,,,9.433333333333334,
2012-01-15,,,,,,,-1.07,,,,,,0.0,0.0,0.0,9.88,2.55,7.65,13.466666666666667,,,10.466666666666667,
2012-01-16,,,,,,,-1.23,,,,,,0.0,0.0,0.0,9.84,2.4,7.7,13.5,,,11.5,0.0
2012-01-17,,,,,,,-0.81,,,,,,0.0,0.0,0.0,9.91,2.477777777777778,7.722222222222222,13.6,,,13.766666666666666,
2012-01-18,,,,,,,-0.99,,,,,,0.0,0.0,0.0,9.98,2.5555555555555554,7.7444444444444445,13.7,,,16.03333333333333,
2012-01-19,,,,,,,-1.2,,,,,,0.0,0.0,0.0,10.0,2.6333333333333333,7.766666666666667,13.8,,,18.3,
2012-01-20,,,,,,,-0.8,,,,,,0.0,0.0,0.0,9.82,2.7111111111111112,7.788888888888889,13.9,,,20.566666666666666,
2012-01-21,,,,,,,-1.22,,,,,,0.0,0.0,0.0,9.78,2.7888888888888888,7.811111111111112,14.0,,,22.833333333333332,
2012-01-22,,,,,,,-1.03,,,,,,0.0,0.0,0.0,9.8,2.8666666666666667,7.833333333333334,14.1,,,25.1,
2012-01-23,,,,,,,-0.75,,,,,,0.0,0.0,0.0,9.78,2.9444444444444446,7.855555555555556,14.2,,,27.366666666666667,
2012-01-24,,,,,,,-0.77,,,,,,0.0,0.0,0.0,9.82,3.022222222222222,7.877777777777778,14.3,,,29.633333333333333,
2012-01-25,,,,,,,-1.31,,,,,,0.0,0.0,0.0,9.78,3.1,7.9,14.4,,,31.9,0.0
2012-01-26,,,,,,,-1.12,,,,,,0.0,0.0,0.0,9.89,3.1,8.0,14.5,,,31.2,
2012-01-27,,,,,,,-2.57,,,,,,0.0,0.0,0.0,10.09,3.1,8.1,14.6,,,30.5,0.0
2012-01-28,,,,,,,-3.28,,,,,,0.0,0.0,0.0,12.54,3.466666666666667,8.0,14.2,,,30.433333333333334,
2012-01-29,,,,,,,-3.28,,,,,,0.0,0.0,0.0,9.52,3.8333333333333335,7.8999999999999995,13.8,,,30.366666666666667,
2012-01-30,,,,,,,-3.3,,,,,,0.0,0.0,0.0,9.47,4.2,7.8,13.4,,,30.3,0.0
2012-01-31,,,,,,,-3.26,,,,,,0.0,0.0,0.0,9.39,3.7750000000000004,8.0,14.05,,,41.3,
2012-02-01,,,,,,,-3.26,,,,,,0.0,0.0,0.0,9.16,3.35,8.2,14.7,,,52.3,
2012-02-02,,,,,,,-3.29,,,,,,0.0,0.0,0.0,9.15,2.925,8.4,15.35,,,63.3,
2012-02-03,,,,,,,-3.31,,,,,,0.0,0.0,0.0,8.96,2.5,8.6,16.0,,,74.3,0.0
2012-02-04,,,,,,,-3.26,,,,,,0.0,0.0,0.0,8.83,2.7666666666666666,8.799999999999999,15.666666666666666,,,86.0,
2012-02-05,,,,,,,-3.18,,,,,,0.0,0.0,0.0,8.93,3.033333333333333,9.0,15.333333333333334,,,97.7,
2012-02-06,,,,,,,-2.66,,,,,,0.0,0.0,0.0,8.65,3.3,9.2,15.0,,,109.4,0.0
2012-02-07,,,,,,,-1.94,,,,,,0.0,0.0,0.0,8.3,3.5,8.8,14.35,,,104.35,
2012-02-08,,,,,,,-1.35,,,,,,0.0,0.0,0.0,8.66,3.7,8.4,13.7,,,99.3,0.0
2012-02-09,,,,,,,-0.75,,,,,,0.0,0.0,0.0,9.12,4.050000000000001,8.8,15.45,,,103.0,
2012-02-10,,,,,,,-0.24,,,,,,0.0,246.13,21.27,9.67,4.4,9.2,17.2,,,106.7,0.0
2012-02-11,,,,,,,0.57,,,,,,0.0,0.0,19.52,9.39,3.966666666666667,9.2,17.766666666666666,,,104.56666666666666,
2012-02-12,,,,,,,0.87,-16.32,,,,,0.0,0.0,19.28,9.35,3.5333333333333337,9.2,18.333333333333332,,,102.43333333333334,
